code,name,port_code,port_name,country_ports_id,
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),GES,"Gallis Bay, St.Marten",8,116
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),GUS,"Gustavia, St Bartelemy",8,117
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),KRA,"Kralendijk, Bonaire",8,118
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),MAR,Marigot,8,119
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),OTB,Otrobanda,8,120
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),PHI,Philipsburg,8,121
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),PUN,Punda,8,122
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),RIN,"Dorp Rincon, Bonaire",8,123
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),SAB,Saba Is,8,124
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),SMB,St Michiels Bay,8,125
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),STR,"Santa Rosa, Curacao",8,126
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),SXM,St Maarten,8,127
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),WIL,"Willemstad, Curaçao",8,128
ARE,EMIRATOS ARABES UNIDOS,AAN,Al Ain,65,129
ARE,EMIRATOS ARABES UNIDOS,ABU,Abu al Bukhoosh,65,130
ARE,EMIRATOS ARABES UNIDOS,AJM,Ajman,65,131
ARE,EMIRATOS ARABES UNIDOS,AMU,Abu Musa,65,132
ARE,EMIRATOS ARABES UNIDOS,ARZ,Arzanah Island,65,133
ARE,EMIRATOS ARABES UNIDOS,AUH,Abu Dhabi,65,134
ARE,EMIRATOS ARABES UNIDOS,DAS,Das Island,65,135
ARE,EMIRATOS ARABES UNIDOS,DHF,Al Dhafra,65,136
ARE,EMIRATOS ARABES UNIDOS,DUY,Ras Zubbaya (Ras Dubayyah),65,137
ARE,EMIRATOS ARABES UNIDOS,DXB,Dubai,65,138
ARE,EMIRATOS ARABES UNIDOS,FAT,Fateh Terminal,65,139
ARE,EMIRATOS ARABES UNIDOS,FJR,Fujairah (Al-Fujairah),65,140
ARE,EMIRATOS ARABES UNIDOS,FMZ,Musafa,65,141
ARE,EMIRATOS ARABES UNIDOS,HAM,Hamriyah,65,142
ARE,EMIRATOS ARABES UNIDOS,IND,Indooroodilly,65,143
ARE,EMIRATOS ARABES UNIDOS,JEA,Jebel Ali,65,144
ARE,EMIRATOS ARABES UNIDOS,JED,Jebel Dhanna,65,145
ARE,EMIRATOS ARABES UNIDOS,JYH,Jumayrah,65,146
ARE,EMIRATOS ARABES UNIDOS,KHA,Khalidia,65,147
ARE,EMIRATOS ARABES UNIDOS,KLF,Khor Al Fakkan,65,148
ARE,EMIRATOS ARABES UNIDOS,MAS,Masfut,65,149
ARE,EMIRATOS ARABES UNIDOS,MBS,Mubarras Island,65,150
ARE,EMIRATOS ARABES UNIDOS,MSA,Mina Saqr,65,151
ARE,EMIRATOS ARABES UNIDOS,MUB,Mubarek Terminal,65,152
ARE,EMIRATOS ARABES UNIDOS,MZD,Mina Zayed,65,153
ARE,EMIRATOS ARABES UNIDOS,NHD,Minhad,65,154
ARE,EMIRATOS ARABES UNIDOS,PRA,Port Rashid,65,155
ARE,EMIRATOS ARABES UNIDOS,QIW,Umm Al Qaiwain,65,156
ARE,EMIRATOS ARABES UNIDOS,RKT,Ras Al Khaimah,65,157
ARE,EMIRATOS ARABES UNIDOS,RUW,Ar Ruwais (Ruwais = Ar Ruwais),65,158
ARE,EMIRATOS ARABES UNIDOS,SHJ,Sharjah,65,159
ARE,EMIRATOS ARABES UNIDOS,ULR,Umm Al Nar,65,160
ARE,EMIRATOS ARABES UNIDOS,ZUR,Zurku Island,65,161
ARG,ARGENTINA (REPUBLICA),AEP,Jorge Newbury Apt/Buenos Aires,11,162
ARG,ARGENTINA (REPUBLICA),AFA,San Rafael,11,163
ARG,ARGENTINA (REPUBLICA),AOL,Paso de los Libres,11,164
ARG,ARGENTINA (REPUBLICA),APZ,Zapala,11,165
ARG,ARGENTINA (REPUBLICA),ARR,Alto Rio Senguerr,11,166
ARG,ARGENTINA (REPUBLICA),ATU,Atucha,11,167
ARG,ARGENTINA (REPUBLICA),AVD,Acevedo,11,168
ARG,ARGENTINA (REPUBLICA),BHI,Bahia Blanca,11,169
ARG,ARGENTINA (REPUBLICA),BQS,Barranqueras,11,170
ARG,ARGENTINA (REPUBLICA),BRC,San Carlos De Bariloche,11,171
ARG,ARGENTINA (REPUBLICA),BUE,Buenos Aires,11,172
ARG,ARGENTINA (REPUBLICA),CCT,Colonia Catriel,11,173
ARG,ARGENTINA (REPUBLICA),CLC,Caleta Cordoba,11,174
ARG,ARGENTINA (REPUBLICA),CLX,Clorinda,11,175
ARG,ARGENTINA (REPUBLICA),CMP,Campana,11,176
ARG,ARGENTINA (REPUBLICA),CNQ,Corrientes,11,177
ARG,ARGENTINA (REPUBLICA),CNT,Charata,11,178
ARG,ARGENTINA (REPUBLICA),COC,Concordia,11,179
ARG,ARGENTINA (REPUBLICA),COL,Colon,11,180
ARG,ARGENTINA (REPUBLICA),COR,Cordoba,11,181
ARG,ARGENTINA (REPUBLICA),COU,Concepcion del Uruguay,11,182
ARG,ARGENTINA (REPUBLICA),CPC,San Martin DeLos Andes,11,183
ARG,ARGENTINA (REPUBLICA),CPG,Carmen de Patagones,11,184
ARG,ARGENTINA (REPUBLICA),CRD,Comodoro Rivadavia,11,185
ARG,ARGENTINA (REPUBLICA),CRR,Ceres,11,186
ARG,ARGENTINA (REPUBLICA),CTC,Catamarca,11,187
ARG,ARGENTINA (REPUBLICA),CUA,Cuatreros/Bahia Blanca,11,188
ARG,ARGENTINA (REPUBLICA),CUT,Cutral,11,189
ARG,ARGENTINA (REPUBLICA),CVH,Caviahue,11,190
ARG,ARGENTINA (REPUBLICA),CVI,Caleta Olivia,11,191
ARG,ARGENTINA (REPUBLICA),DME,Diamante,11,192
ARG,ARGENTINA (REPUBLICA),EHL,El Bolson,11,193
ARG,ARGENTINA (REPUBLICA),ELO,Eldorado,11,194
ARG,ARGENTINA (REPUBLICA),EMX,El Maiten,11,195
ARG,ARGENTINA (REPUBLICA),EQS,Esquel,11,196
ARG,ARGENTINA (REPUBLICA),EZE,Buenos Aires-Ministro Pistarin,11,197
ARG,ARGENTINA (REPUBLICA),EZE,Ezeisa Apt/Buenos Aires,11,198
ARG,ARGENTINA (REPUBLICA),FMA,Formosa,11,199
ARG,ARGENTINA (REPUBLICA),GGS,Gobernador Gregores,11,200
ARG,ARGENTINA (REPUBLICA),GHU,Gualeguaychu,11,201
ARG,ARGENTINA (REPUBLICA),GNR,General Roca,11,202
ARG,ARGENTINA (REPUBLICA),GPO,General Pico,11,203
ARG,ARGENTINA (REPUBLICA),HOS,Chos Malal,11,204
ARG,ARGENTINA (REPUBLICA),IBY,Ibicuy,11,205
ARG,ARGENTINA (REPUBLICA),IGB,Ingeniero Jacobacci,11,206
ARG,ARGENTINA (REPUBLICA),IGR,Iguazu,11,207
ARG,ARGENTINA (REPUBLICA),ING,Lago Argentino,11,208
ARG,ARGENTINA (REPUBLICA),INW,Ingeniero White/Bahia Blanca,11,209
ARG,ARGENTINA (REPUBLICA),IRJ,La Rioja,11,210
ARG,ARGENTINA (REPUBLICA),JNI,Junin,11,211
ARG,ARGENTINA (REPUBLICA),JSM,Jose de San Martin,11,212
ARG,ARGENTINA (REPUBLICA),JUJ,Jujuy,11,213
ARG,ARGENTINA (REPUBLICA),LCM,La Cumbre,11,214
ARG,ARGENTINA (REPUBLICA),LCP,Loncopue,11,215
ARG,ARGENTINA (REPUBLICA),LGS,Malargue,11,216
ARG,ARGENTINA (REPUBLICA),LHS,Las Heras,11,217
ARG,ARGENTINA (REPUBLICA),LLS,Las Lomitas,11,218
ARG,ARGENTINA (REPUBLICA),LMD,Los Menucos,11,219
ARG,ARGENTINA (REPUBLICA),LPG,La Plata,11,220
ARG,ARGENTINA (REPUBLICA),LQU,La Quiaca,11,221
ARG,ARGENTINA (REPUBLICA),LUQ,San Luis,11,222
ARG,ARGENTINA (REPUBLICA),MCS,Monte Caseros,11,223
ARG,ARGENTINA (REPUBLICA),MDQ,Mar del Plata,11,224
ARG,ARGENTINA (REPUBLICA),MDX,Mercedes,11,225
ARG,ARGENTINA (REPUBLICA),MDZ,Mendoza,11,226
ARG,ARGENTINA (REPUBLICA),MJR,Miramar,11,227
ARG,ARGENTINA (REPUBLICA),MQD,Maquinchao,11,228
ARG,ARGENTINA (REPUBLICA),NEC,Necochea,11,229
ARG,ARGENTINA (REPUBLICA),NQN,Neuquen,11,230
ARG,ARGENTINA (REPUBLICA),OES,San Antonio Oeste,11,231
ARG,ARGENTINA (REPUBLICA),OLN,Colonia Sarmiento,11,232
ARG,ARGENTINA (REPUBLICA),ORA,Oran,11,233
ARG,ARGENTINA (REPUBLICA),OYA,Goya,11,234
ARG,ARGENTINA (REPUBLICA),OYO,Tres Arroyos,11,235
ARG,ARGENTINA (REPUBLICA),PBG,Puerto Belgrano/Bahia Blanca,11,236
ARG,ARGENTINA (REPUBLICA),PCO,Punta Colorada,11,237
ARG,ARGENTINA (REPUBLICA),PCY,Pilcomayo,11,238
ARG,ARGENTINA (REPUBLICA),PEH,Pehuajo,11,239
ARG,ARGENTINA (REPUBLICA),PGV,Puerto Galvan/Bahia Blanca,11,240
ARG,ARGENTINA (REPUBLICA),PLO,Punta Loyola,11,241
ARG,ARGENTINA (REPUBLICA),PLS,Las Palmas,11,242
ARG,ARGENTINA (REPUBLICA),PMQ,Perito Moreno,11,243
ARG,ARGENTINA (REPUBLICA),PMY,Puerto Madryn,11,244
ARG,ARGENTINA (REPUBLICA),PNL,Puerto Nacional/Bahia Blanca,11,245
ARG,ARGENTINA (REPUBLICA),POC,Pocitos,11,246
ARG,ARGENTINA (REPUBLICA),PQU,Punta Quilla,11,247
